label,common_tokens
Happy-Sad,1895
Happy-Angry,1608
Happy-Excited,1207
Happy-Fearful,1454
Happy-Energetic,2427
Happy-Love,1885
Happy-Curious,1370
Sad-Angry,1614
Sad-Excited,1193
Sad-Fearful,1448
Sad-Energetic,2282
Sad-Love,1880
Sad-Curious,1305
Angry-Excited,1037
Angry-Fearful,1260
Angry-Energetic,1938
Angry-Love,1525
Angry-Curious,1181
Excited-Fearful,998
Excited-Energetic,1428
Excited-Love,1188
Excited-Curious,942
Fearful-Energetic,1753
Fearful-Love,1389
Fearful-Curious,1072
Energetic-Love,2326
Energetic-Curious,1622
Love-Curious,1310
