label,uncommon_tokens
Happy-Sad,3108
Happy-Angry,3395
Happy-Excited,3796
Happy-Fearful,3549
Happy-Energetic,2576
Happy-Love,3118
Happy-Curious,3633
Sad-Happy,2706
Sad-Angry,2987
Sad-Excited,3408
Sad-Fearful,3153
Sad-Energetic,2319
Sad-Love,2721
Sad-Curious,3296
Angry-Happy,2057
Angry-Sad,2051
Angry-Excited,2628
Angry-Fearful,2405
Angry-Energetic,1727
Angry-Love,2140
Angry-Curious,2484
Excited-Happy,1137
Excited-Sad,1151
Excited-Angry,1307
Excited-Fearful,1346
Excited-Energetic,916
Excited-Love,1156
Excited-Curious,1402
Fearful-Happy,1642
Fearful-Sad,1648
Fearful-Angry,1836
Fearful-Excited,2098
Fearful-Energetic,1343
Fearful-Love,1707
Fearful-Curious,2024
Energetic-Happy,6499
Energetic-Sad,6644
Energetic-Angry,6988
Energetic-Excited,7498
Energetic-Fearful,7173
Energetic-Love,6600
Energetic-Curious,7304
Love-Happy,2965
Love-Sad,2970
Love-Angry,3325
Love-Excited,3662
Love-Fearful,3461
Love-Energetic,2524
Love-Curious,3540
Curious-Happy,1518
Curious-Sad,1583
Curious-Angry,1707
Curious-Excited,1946
Curious-Fearful,1816
Curious-Energetic,1266
Curious-Love,1578
