labels,word,cosine similarity
Happy-Sad,enjoy,0.2
Happy-Angry,may,0.58
Happy-Excited,zero,-0.1
Happy-Fearful,might,-0.28
Happy-Energetic,shower,-0.16
Happy-Love,myself,0.43
Happy-Curious,safe,-0.56
Sad-Angry,may,0.25
Sad-Excited,sorry,0.51
Sad-Fearful,fun,0.1
Sad-Energetic,mask,-0.1
Sad-Love,early,-0.11
Sad-Curious,safe,-0.18
Angry-Excited,job,-0.04
Angry-Fearful,anything,0.05
Angry-Energetic,fake,-0.03
Angry-Love,mercy,-0.14
Angry-Curious,hockey,-0.28
Excited-Fearful,heard,0.19
Excited-Energetic,minhyuk,0.53
Excited-Love,imagine,0.23
Excited-Curious,drink,0.32
Fearful-Energetic,stuck,-0.38
Fearful-Love,imagine,0.27
Fearful-Curious,safe,0.08
Energetic-Love,viewers,0.14
Energetic-Curious,team,0.13
Love-Curious,beautiful,-0.61
